transaction_date,asset_tag,machine_type,plant_code,failed_A,failed_B,failed_C,failed_parts,severity_score,severity_7,severity_10,severity_11,severity_12,severity_13,severity_14
2022-03-01,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-03-02,AST-3008,Belt Conveyor,CHN-02,0,1,2,3,4,0,0,0,0,0,0
2022-03-03,AST-3008,Belt Conveyor,CHN-02,2,1,0,3,10,1,1,0,0,0,0
2022-03-04,AST-3008,Belt Conveyor,CHN-02,2,1,1,4,11,1,1,1,0,0,0
2022-03-05,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-03-06,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-03-07,AST-3008,Belt Conveyor,CHN-02,2,0,0,2,8,1,0,0,0,0,0
2022-03-08,AST-3008,Belt Conveyor,CHN-02,2,0,0,2,8,1,0,0,0,0,0
2022-03-09,AST-3008,Belt Conveyor,CHN-02,1,2,1,4,9,1,0,0,0,0,0
2022-03-10,AST-3008,Belt Conveyor,CHN-02,1,3,0,4,10,1,1,0,0,0,0
2022-03-11,AST-3008,Belt Conveyor,CHN-02,0,1,0,1,2,0,0,0,0,0,0
2022-03-12,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-03-13,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-03-14,AST-3008,Belt Conveyor,CHN-02,2,0,1,3,9,1,0,0,0,0,0
2022-03-15,AST-3008,Belt Conveyor,CHN-02,0,2,1,3,5,0,0,0,0,0,0
2022-03-16,AST-3008,Belt Conveyor,CHN-02,1,1,1,3,7,1,0,0,0,0,0
2022-03-17,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-03-18,AST-3008,Belt Conveyor,CHN-02,0,1,0,1,2,0,0,0,0,0,0
2022-03-19,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-03-20,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-03-21,AST-3008,Belt Conveyor,CHN-02,0,1,1,2,3,0,0,0,0,0,0
2022-03-22,AST-3008,Belt Conveyor,CHN-02,0,2,0,2,4,0,0,0,0,0,0
2022-03-23,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-03-24,AST-3008,Belt Conveyor,CHN-02,0,3,1,4,7,1,0,0,0,0,0
2022-03-25,AST-3008,Belt Conveyor,CHN-02,3,2,1,6,17,1,1,1,1,1,1
2022-03-26,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-03-27,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-03-28,AST-3008,Belt Conveyor,CHN-02,0,2,1,3,5,0,0,0,0,0,0
2022-03-29,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-03-30,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-03-31,AST-3008,Belt Conveyor,CHN-02,3,1,0,4,14,1,1,1,1,1,1
2022-04-01,AST-3008,Belt Conveyor,CHN-02,0,2,0,2,4,0,0,0,0,0,0
2022-04-02,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-04-03,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-04-04,AST-3008,Belt Conveyor,CHN-02,2,1,0,3,10,1,1,0,0,0,0
2022-04-05,AST-3008,Belt Conveyor,CHN-02,1,0,1,2,5,0,0,0,0,0,0
2022-04-06,AST-3008,Belt Conveyor,CHN-02,0,2,0,2,4,0,0,0,0,0,0
2022-04-07,AST-3008,Belt Conveyor,CHN-02,0,0,1,1,1,0,0,0,0,0,0
2022-04-08,AST-3008,Belt Conveyor,CHN-02,0,1,0,1,2,0,0,0,0,0,0
2022-04-09,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-04-10,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-04-11,AST-3008,Belt Conveyor,CHN-02,0,1,0,1,2,0,0,0,0,0,0
2022-04-12,AST-3008,Belt Conveyor,CHN-02,1,2,1,4,9,1,0,0,0,0,0
2022-04-13,AST-3008,Belt Conveyor,CHN-02,1,0,0,1,4,0,0,0,0,0,0
2022-04-14,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-04-15,AST-3008,Belt Conveyor,CHN-02,2,2,0,4,12,1,1,1,1,0,0
2022-04-16,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-04-17,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-04-18,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-04-19,AST-3008,Belt Conveyor,CHN-02,1,1,1,3,7,1,0,0,0,0,0
2022-04-20,AST-3008,Belt Conveyor,CHN-02,1,0,1,2,5,0,0,0,0,0,0
2022-04-21,AST-3008,Belt Conveyor,CHN-02,1,1,1,3,7,1,0,0,0,0,0
2022-04-22,AST-3008,Belt Conveyor,CHN-02,4,2,0,6,20,1,1,1,1,1,1
2022-04-23,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-04-24,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-04-25,AST-3008,Belt Conveyor,CHN-02,0,1,0,1,2,0,0,0,0,0,0
2022-04-26,AST-3008,Belt Conveyor,CHN-02,1,1,1,3,7,1,0,0,0,0,0
2022-04-27,AST-3008,Belt Conveyor,CHN-02,1,0,0,1,4,0,0,0,0,0,0
2022-04-28,AST-3008,Belt Conveyor,CHN-02,0,1,0,1,2,0,0,0,0,0,0
2022-04-29,AST-3008,Belt Conveyor,CHN-02,1,0,0,1,4,0,0,0,0,0,0
2022-04-30,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-05-01,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-05-02,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-05-03,AST-3008,Belt Conveyor,CHN-02,1,0,0,1,4,0,0,0,0,0,0
2022-05-04,AST-3008,Belt Conveyor,CHN-02,2,2,1,5,13,1,1,1,1,1,0
2022-05-05,AST-3008,Belt Conveyor,CHN-02,3,1,1,5,15,1,1,1,1,1,1
2022-05-06,AST-3008,Belt Conveyor,CHN-02,0,1,0,1,2,0,0,0,0,0,0
2022-05-07,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-05-08,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-05-09,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-05-10,AST-3008,Belt Conveyor,CHN-02,2,0,1,3,9,1,0,0,0,0,0
2022-05-11,AST-3008,Belt Conveyor,CHN-02,0,3,1,4,7,1,0,0,0,0,0
2022-05-12,AST-3008,Belt Conveyor,CHN-02,1,0,0,1,4,0,0,0,0,0,0
2022-05-13,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-05-14,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-05-15,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-05-16,AST-3008,Belt Conveyor,CHN-02,1,0,0,1,4,0,0,0,0,0,0
2022-05-17,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-05-18,AST-3008,Belt Conveyor,CHN-02,1,3,0,4,10,1,1,0,0,0,0
2022-05-19,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-05-20,AST-3008,Belt Conveyor,CHN-02,0,2,0,2,4,0,0,0,0,0,0
2022-05-21,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-05-22,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-05-23,AST-3008,Belt Conveyor,CHN-02,1,0,0,1,4,0,0,0,0,0,0
2022-05-24,AST-3008,Belt Conveyor,CHN-02,1,0,1,2,5,0,0,0,0,0,0
2022-05-25,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-05-26,AST-3008,Belt Conveyor,CHN-02,0,0,3,3,3,0,0,0,0,0,0
2022-05-27,AST-3008,Belt Conveyor,CHN-02,1,2,0,3,8,1,0,0,0,0,0
2022-05-28,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-05-29,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-05-30,AST-3008,Belt Conveyor,CHN-02,1,2,0,3,8,1,0,0,0,0,0
2022-05-31,AST-3008,Belt Conveyor,CHN-02,3,1,1,5,15,1,1,1,1,1,1
2022-06-01,AST-3008,Belt Conveyor,CHN-02,1,1,1,3,7,1,0,0,0,0,0
2022-06-02,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-06-03,AST-3008,Belt Conveyor,CHN-02,0,2,0,2,4,0,0,0,0,0,0
2022-06-04,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-06-05,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-06-06,AST-3008,Belt Conveyor,CHN-02,1,2,0,3,8,1,0,0,0,0,0
2022-06-07,AST-3008,Belt Conveyor,CHN-02,0,1,2,3,4,0,0,0,0,0,0
2022-06-08,AST-3008,Belt Conveyor,CHN-02,2,3,1,6,15,1,1,1,1,1,1
2022-06-09,AST-3008,Belt Conveyor,CHN-02,1,0,1,2,5,0,0,0,0,0,0
2022-06-10,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-06-11,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-06-12,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-06-13,AST-3008,Belt Conveyor,CHN-02,0,1,1,2,3,0,0,0,0,0,0
2022-06-14,AST-3008,Belt Conveyor,CHN-02,0,2,1,3,5,0,0,0,0,0,0
2022-06-15,AST-3008,Belt Conveyor,CHN-02,3,0,1,4,13,1,1,1,1,1,0
2022-06-16,AST-3008,Belt Conveyor,CHN-02,2,1,1,4,11,1,1,1,0,0,0
2022-06-17,AST-3008,Belt Conveyor,CHN-02,0,1,1,2,3,0,0,0,0,0,0
2022-06-18,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-06-19,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-06-20,AST-3008,Belt Conveyor,CHN-02,1,3,0,4,10,1,1,0,0,0,0
2022-06-21,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-06-22,AST-3008,Belt Conveyor,CHN-02,2,0,0,2,8,1,0,0,0,0,0
2022-06-23,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-06-24,AST-3008,Belt Conveyor,CHN-02,1,1,1,3,7,1,0,0,0,0,0
2022-06-25,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-06-26,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-06-27,AST-3008,Belt Conveyor,CHN-02,1,2,0,3,8,1,0,0,0,0,0
2022-06-28,AST-3008,Belt Conveyor,CHN-02,1,0,1,2,5,0,0,0,0,0,0
2022-06-29,AST-3008,Belt Conveyor,CHN-02,0,1,0,1,2,0,0,0,0,0,0
2022-06-30,AST-3008,Belt Conveyor,CHN-02,2,1,1,4,11,1,1,1,0,0,0
2022-07-01,AST-3008,Belt Conveyor,CHN-02,2,0,1,3,9,1,0,0,0,0,0
2022-07-02,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-07-03,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-07-04,AST-3008,Belt Conveyor,CHN-02,1,1,2,4,8,1,0,0,0,0,0
2022-07-05,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-07-06,AST-3008,Belt Conveyor,CHN-02,0,2,2,4,6,0,0,0,0,0,0
2022-07-07,AST-3008,Belt Conveyor,CHN-02,2,2,0,4,12,1,1,1,1,0,0
2022-07-08,AST-3008,Belt Conveyor,CHN-02,1,0,0,1,4,0,0,0,0,0,0
2022-07-09,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-07-10,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-07-11,AST-3008,Belt Conveyor,CHN-02,1,3,0,4,10,1,1,0,0,0,0
2022-07-12,AST-3008,Belt Conveyor,CHN-02,0,0,1,1,1,0,0,0,0,0,0
2022-07-13,AST-3008,Belt Conveyor,CHN-02,0,2,0,2,4,0,0,0,0,0,0
2022-07-14,AST-3008,Belt Conveyor,CHN-02,0,3,0,3,6,0,0,0,0,0,0
2022-07-15,AST-3008,Belt Conveyor,CHN-02,0,3,0,3,6,0,0,0,0,0,0
2022-07-16,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-07-17,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-07-18,AST-3008,Belt Conveyor,CHN-02,1,0,0,1,4,0,0,0,0,0,0
2022-07-19,AST-3008,Belt Conveyor,CHN-02,1,0,0,1,4,0,0,0,0,0,0
2022-07-20,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-07-21,AST-3008,Belt Conveyor,CHN-02,1,0,1,2,5,0,0,0,0,0,0
2022-07-22,AST-3008,Belt Conveyor,CHN-02,2,0,1,3,9,1,0,0,0,0,0
2022-07-23,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-07-24,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-07-25,AST-3008,Belt Conveyor,CHN-02,0,2,1,3,5,0,0,0,0,0,0
2022-07-26,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-07-27,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-07-28,AST-3008,Belt Conveyor,CHN-02,2,1,0,3,10,1,1,0,0,0,0
2022-07-29,AST-3008,Belt Conveyor,CHN-02,1,2,0,3,8,1,0,0,0,0,0
2022-07-30,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-07-31,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-08-01,AST-3008,Belt Conveyor,CHN-02,1,2,1,4,9,1,0,0,0,0,0
2022-08-02,AST-3008,Belt Conveyor,CHN-02,1,0,0,1,4,0,0,0,0,0,0
2022-08-03,AST-3008,Belt Conveyor,CHN-02,0,1,0,1,2,0,0,0,0,0,0
2022-08-04,AST-3008,Belt Conveyor,CHN-02,1,2,0,3,8,1,0,0,0,0,0
2022-08-05,AST-3008,Belt Conveyor,CHN-02,1,3,0,4,10,1,1,0,0,0,0
2022-08-06,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-08-07,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-08-08,AST-3008,Belt Conveyor,CHN-02,1,3,1,5,11,1,1,1,0,0,0
2022-08-09,AST-3008,Belt Conveyor,CHN-02,1,2,0,3,8,1,0,0,0,0,0
2022-08-10,AST-3008,Belt Conveyor,CHN-02,2,1,2,5,12,1,1,1,1,0,0
2022-08-11,AST-3008,Belt Conveyor,CHN-02,0,1,0,1,2,0,0,0,0,0,0
2022-08-12,AST-3008,Belt Conveyor,CHN-02,0,1,0,1,2,0,0,0,0,0,0
2022-08-13,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-08-14,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-08-15,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-08-16,AST-3008,Belt Conveyor,CHN-02,1,0,0,1,4,0,0,0,0,0,0
2022-08-17,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-08-18,AST-3008,Belt Conveyor,CHN-02,1,2,0,3,8,1,0,0,0,0,0
2022-08-19,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-08-20,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-08-21,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-08-22,AST-3008,Belt Conveyor,CHN-02,1,0,0,1,4,0,0,0,0,0,0
2022-08-23,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-08-24,AST-3008,Belt Conveyor,CHN-02,0,1,0,1,2,0,0,0,0,0,0
2022-08-25,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-08-26,AST-3008,Belt Conveyor,CHN-02,1,1,1,3,7,1,0,0,0,0,0
2022-08-27,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-08-29,AST-3008,Belt Conveyor,CHN-02,0,1,0,1,2,0,0,0,0,0,0
2022-08-30,AST-3008,Belt Conveyor,CHN-02,2,1,0,3,10,1,1,0,0,0,0
2022-08-31,AST-3008,Belt Conveyor,CHN-02,0,2,0,2,4,0,0,0,0,0,0
2022-09-01,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-09-02,AST-3008,Belt Conveyor,CHN-02,2,1,0,3,10,1,1,0,0,0,0
2022-09-03,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-09-04,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-09-05,AST-3008,Belt Conveyor,CHN-02,1,0,0,1,4,0,0,0,0,0,0
2022-09-06,AST-3008,Belt Conveyor,CHN-02,1,0,0,1,4,0,0,0,0,0,0
2022-09-07,AST-3008,Belt Conveyor,CHN-02,2,0,0,2,8,1,0,0,0,0,0
2022-09-08,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-09-09,AST-3008,Belt Conveyor,CHN-02,3,2,1,6,17,1,1,1,1,1,1
2022-09-10,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-09-11,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-09-12,AST-3008,Belt Conveyor,CHN-02,1,0,0,1,4,0,0,0,0,0,0
2022-09-13,AST-3008,Belt Conveyor,CHN-02,0,2,1,3,5,0,0,0,0,0,0
2022-09-14,AST-3008,Belt Conveyor,CHN-02,1,2,0,3,8,1,0,0,0,0,0
2022-09-15,AST-3008,Belt Conveyor,CHN-02,2,2,0,4,12,1,1,1,1,0,0
2022-09-16,AST-3008,Belt Conveyor,CHN-02,3,2,0,5,16,1,1,1,1,1,1
2022-09-17,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-09-18,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-09-19,AST-3008,Belt Conveyor,CHN-02,1,0,0,1,4,0,0,0,0,0,0
2022-09-20,AST-3008,Belt Conveyor,CHN-02,1,1,2,4,8,1,0,0,0,0,0
2022-09-21,AST-3008,Belt Conveyor,CHN-02,0,1,1,2,3,0,0,0,0,0,0
2022-09-22,AST-3008,Belt Conveyor,CHN-02,0,1,0,1,2,0,0,0,0,0,0
2022-09-23,AST-3008,Belt Conveyor,CHN-02,0,1,0,1,2,0,0,0,0,0,0
2022-09-24,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-09-25,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-09-26,AST-3008,Belt Conveyor,CHN-02,1,0,1,2,5,0,0,0,0,0,0
2022-09-27,AST-3008,Belt Conveyor,CHN-02,1,0,1,2,5,0,0,0,0,0,0
2022-09-28,AST-3008,Belt Conveyor,CHN-02,2,0,2,4,10,1,1,0,0,0,0
2022-09-29,AST-3008,Belt Conveyor,CHN-02,3,0,1,4,13,1,1,1,1,1,0
2022-09-30,AST-3008,Belt Conveyor,CHN-02,0,1,0,1,2,0,0,0,0,0,0
2022-10-01,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-10-02,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-10-03,AST-3008,Belt Conveyor,CHN-02,1,2,2,5,10,1,1,0,0,0,0
2022-10-04,AST-3008,Belt Conveyor,CHN-02,4,1,0,5,18,1,1,1,1,1,1
2022-10-05,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
