udi,type,air_k,process_k,rpm,torque,tool_wear,failure,split,proba,cluster,anomaly
140,M,297.1,307.8,1667.0,49.0,187,0,train,0.017,1,0
141,L,299.5,307.4,1819.0,37.7,59,0,train,0.066,0,0
142,M,302.6,309.1,1586.0,48.3,44,0,train,0.052,3,0
143,H,298.1,308.3,1338.0,57.1,85,0,train,0.134,2,0
144,H,296.5,308.3,1561.0,60.0,119,0,train,0.051,3,0
145,L,295.6,307.3,1937.0,51.9,185,1,train,0.638,2,1
146,L,299.1,307.9,1518.0,40.3,64,0,train,0.042,3,0
147,M,294.5,308.4,1763.0,37.8,141,0,train,0.093,3,0
148,L,299.1,308.7,1367.0,45.8,0,0,train,0.03,1,0
149,H,299.6,307.9,1492.0,56.7,7,0,train,0.135,2,0
150,L,298.9,309.1,1612.0,44.3,241,0,train,0.054,1,0
151,H,297.6,308.0,1572.0,44.5,212,0,train,0.023,3,0
152,L,299.1,308.8,1362.0,40.5,215,0,train,0.029,2,0
153,L,298.3,307.5,1354.0,36.7,82,0,train,0.026,1,0
154,H,296.4,306.2,1678.0,38.4,128,0,train,0.048,2,0
155,H,301.7,308.3,1714.0,41.4,168,0,train,0.018,1,0
156,H,297.3,308.7,1772.0,57.2,63,0,train,0.091,2,0
157,H,299.6,308.6,1825.0,37.6,186,0,train,0.046,1,0
158,L,293.2,308.4,1524.0,40.5,173,0,train,0.011,1,0
159,L,300.6,307.7,1444.0,31.3,101,0,train,0.077,3,0
160,L,300.9,307.2,1743.0,47.2,108,0,train,0.04,0,0
161,M,298.1,308.6,1628.0,53.7,76,1,train,0.724,3,1
162,L,299.1,308.4,1323.0,56.2,200,0,train,0.013,0,0
163,H,299.1,307.4,1314.0,42.0,246,0,train,0.077,0,0
164,L,296.7,309.1,1589.0,45.7,249,0,train,0.014,0,0
165,L,299.1,307.1,1468.0,38.5,192,0,train,0.008,0,0
166,L,296.4,307.4,1495.0,45.3,87,0,train,0.072,0,0
167,L,296.8,309.6,1693.0,43.1,195,0,train,0.044,3,0
168,L,300.3,308.9,1637.0,40.6,61,0,train,0.126,3,0
169,M,299.9,307.6,1739.0,41.4,224,0,train,0.026,2,0
170,L,296.6,308.3,1152.0,44.5,66,0,train,0.105,0,0
171,M,296.5,308.2,1546.0,37.1,100,0,train,0.135,3,0
172,H,296.7,305.3,1625.0,37.6,23,0,train,0.024,2,0
173,M,299.5,307.1,1225.0,57.1,20,0,train,0.102,2,0
174,M,296.0,307.9,1382.0,67.1,98,0,train,0.042,3,0
175,L,298.7,307.6,1349.0,28.0,137,0,train,0.051,1,0
176,L,299.5,308.2,1504.0,27.4,4,0,train,0.052,1,0
177,L,297.8,309.1,1793.0,30.4,211,0,train,0.031,3,0
178,H,300.0,307.7,1864.0,39.0,28,0,train,0.042,2,0
179,M,297.4,306.9,1353.0,49.0,249,0,train,0.063,2,0
180,L,297.6,308.3,1595.0,45.9,67,0,train,0.04,2,0
181,L,296.0,307.7,1601.0,41.7,94,0,train,0.064,3,0
182,H,300.0,307.8,1570.0,45.3,39,0,train,0.05,1,0
183,M,296.5,307.7,1572.0,33.1,206,0,train,0.037,0,0
184,M,298.7,310.2,1555.0,37.6,183,0,train,0.038,1,0
185,H,297.9,305.8,1804.0,39.8,19,0,train,0.038,2,0
186,M,295.9,307.6,1698.0,24.2,26,0,train,0.034,3,0
187,M,296.8,308.0,1309.0,28.4,152,0,train,0.035,1,0
188,L,300.8,307.2,1643.0,28.8,216,0,train,0.031,2,0
189,L,298.4,308.9,1661.0,47.6,27,0,train,0.228,3,0
190,H,296.0,308.8,1557.0,42.5,55,0,train,0.06,3,0
191,M,298.6,308.0,1704.0,46.1,136,0,train,0.183,3,0
192,L,297.7,307.7,1534.0,21.6,27,0,train,0.082,3,0
193,M,304.9,307.9,1536.0,25.2,76,0,train,0.049,2,0
194,L,298.6,307.9,1522.0,46.6,2,0,train,0.046,1,0
195,H,297.2,307.9,1137.0,12.2,124,0,train,0.007,1,0
196,L,300.8,307.8,1486.0,52.2,178,0,train,0.068,2,0
197,H,294.3,308.3,1380.0,21.8,102,0,train,0.058,0,0
198,M,298.2,308.8,1286.0,48.4,64,0,train,0.008,2,0
199,L,302.0,306.8,1758.0,31.1,106,0,train,0.046,2,0
200,L,297.8,306.9,1591.0,50.5,127,0,train,0.2,2,0
201,H,294.5,306.3,1495.0,72.1,41,0,train,0.024,1,0
202,L,297.2,308.9,1398.0,17.3,27,0,train,0.124,2,0
203,L,300.9,308.3,1553.0,47.0,45,0,train,0.028,0,0
204,M,298.8,308.5,1678.0,21.9,246,0,train,0.223,2,0
205,L,296.3,306.6,1351.0,44.3,180,0,train,0.032,3,0
206,L,296.6,309.8,1499.0,37.9,31,0,train,0.041,3,0
207,L,296.9,307.4,1656.0,41.3,75,0,train,0.293,3,0
208,H,298.7,308.2,1152.0,30.9,102,0,train,0.042,1,0
209,L,300.7,308.9,1490.0,47.8,45,0,train,0.069,0,0
210,L,300.1,307.0,1423.0,25.5,212,0,train,0.151,2,0
211,L,298.9,307.5,1476.0,52.4,235,0,train,0.015,0,0
212,L,295.3,308.2,1410.0,35.9,61,0,train,0.006,1,0
213,L,295.3,310.9,1525.0,26.0,4,0,train,0.059,2,0
214,L,299.1,308.3,1846.0,55.9,66,0,train,0.043,2,0
215,L,295.3,309.6,1442.0,39.3,145,0,train,0.033,2,0
216,L,297.5,309.2,1553.0,59.1,202,1,train,0.659,3,1
217,H,298.6,308.4,1859.0,52.2,84,0,train,0.046,0,0
218,L,295.7,307.0,1401.0,32.0,68,0,train,0.004,3,0
219,L,296.0,309.1,1827.0,39.2,62,0,train,0.03,2,0
220,H,297.8,306.5,1501.0,41.2,0,0,train,0.038,1,0
221,H,299.0,309.6,1821.0,55.3,3,1,train,0.681,1,1
222,M,300.1,308.2,1635.0,44.4,106,0,train,0.045,2,0
223,L,299.2,305.3,1555.0,41.8,154,0,train,0.077,2,0
224,L,298.1,307.7,1488.0,38.0,3,0,train,0.054,1,0
225,L,296.5,308.7,1388.0,39.5,50,0,train,0.079,0,0
226,L,295.9,307.8,1514.0,53.0,227,0,train,0.014,0,0
227,L,297.0,308.7,1662.0,40.0,247,0,train,0.059,1,0
228,M,298.8,307.1,1498.0,36.1,160,0,train,0.022,1,0
229,L,298.7,306.7,1443.0,34.4,130,0,train,0.014,2,0
230,M,293.8,307.9,1455.0,34.5,145,0,train,0.115,3,0
231,L,296.4,308.0,1679.0,26.0,92,0,train,0.091,0,0
232,L,300.4,307.7,1721.0,32.5,50,0,train,0.043,1,0
233,M,298.2,309.2,1380.0,55.0,93,0,train,0.003,0,0
234,H,295.2,307.1,1380.0,37.9,174,0,train,0.005,3,0
235,L,302.7,308.3,1568.0,47.0,165,0,train,0.058,2,0
236,M,297.9,308.1,1775.0,15.2,169,0,train,0.059,0,0
237,L,298.8,306.4,1706.0,45.7,152,0,train,0.042,1,0
238,L,298.8,306.7,1275.0,38.4,15,0,train,0.029,2,0
239,M,297.3,308.0,1452.0,35.2,156,0,train,0.014,3,0
240,L,296.5,310.0,1332.0,41.8,220,0,train,0.065,2,0
241,L,302.2,308.6,1452.0,35.0,162,0,train,0.058,1,0
242,L,300.0,306.3,1789.0,18.8,144,0,train,0.162,2,0
243,L,299.6,304.9,1244.0,49.2,55,0,train,0.161,2,0
244,L,299.2,308.7,1209.0,42.4,198,0,train,0.096,2,0
245,L,296.0,307.9,1351.0,36.9,112,0,train,0.019,0,0
246,H,300.6,309.1,1552.0,30.3,65,0,train,0.107,2,0
247,M,296.3,307.1,1612.0,25.3,122,0,train,0.104,0,0
248,L,298.6,308.4,1579.0,42.2,30,0,train,0.019,3,0
249,L,294.7,308.8,1712.0,56.1,231,0,train,0.1,3,0
250,M,293.9,307.6,1183.0,42.0,175,0,train,0.006,2,0
251,L,298.6,307.6,1714.0,26.2,81,0,train,0.192,2,0
252,M,296.4,308.0,1444.0,42.3,198,0,train,0.037,0,0
253,M,294.0,308.5,1632.0,39.5,13,0,train,0.017,3,0
254,L,299.1,308.0,1262.0,48.6,96,0,train,0.031,1,0
255,L,302.2,309.0,1501.0,46.1,162,0,train,0.084,1,0
256,L,300.8,307.5,1543.0,10.1,5,0,train,0.11,2,0
257,L,297.5,306.7,1708.0,45.5,177,0,train,0.151,3,0
258,L,298.0,310.0,1215.0,30.0,204,0,train,0.061,1,0
259,H,299.8,307.4,1506.0,25.8,148,0,train,0.034,2,0
260,L,300.2,307.4,1305.0,38.1,51,0,train,0.051,2,0
261,M,297.3,307.9,1591.0,44.1,187,0,train,0.01,1,0
262,M,298.1,308.1,1640.0,23.6,84,0,train,0.106,2,0
263,L,298.6,307.6,1732.0,47.0,183,0,train,0.033,3,0
264,L,299.1,308.0,1404.0,47.6,157,0,train,0.027,1,0
265,L,297.7,308.0,1667.0,40.5,23,0,train,0.158,3,0
266,M,297.8,308.2,1745.0,31.3,24,0,train,0.065,3,0
267,L,300.8,305.6,1204.0,30.2,3,0,train,0.054,3,0
268,M,300.4,309.9,1610.0,50.3,17,0,train,0.026,2,0
269,H,299.0,307.9,1673.0,24.9,74,0,train,0.025,3,0
270,M,301.4,308.6,1453.0,50.6,6,0,train,0.018,2,0
271,H,297.2,306.6,1282.0,38.3,234,0,train,0.04,3,0
272,M,301.2,307.5,1670.0,39.0,229,0,train,0.033,2,0
273,H,299.1,307.3,1284.0,22.9,43,1,train,0.71,3,1
274,H,304.5,309.5,1468.0,38.5,77,0,train,0.11,3,0
275,M,295.6,307.4,1493.0,46.1,185,0,train,0.017,3,0
276,H,296.6,308.8,1629.0,26.6,165,1,train,0.622,2,1
277,H,298.8,307.3,1387.0,45.0,145,0,train,0.065,2,0
278,L,298.8,307.5,1377.0,40.9,247,0,train,0.043,3,0
279,M,301.9,307.8,1518.0,33.6,157,0,train,0.075,1,0
280,M,296.7,309.3,1681.0,48.5,167,0,train,0.103,0,0
281,H,299.8,306.1,1912.0,18.0,125,0,train,0.064,3,0
282,L,300.3,306.7,1229.0,43.5,131,0,train,0.059,2,0
283,H,299.4,306.1,1557.0,56.2,72,0,train,0.002,1,0
284,M,296.1,306.9,1304.0,54.4,130,0,train,0.013,2,0
285,H,300.8,307.2,1683.0,43.9,229,0,train,0.059,0,0
286,L,300.5,306.4,1331.0,37.0,94,0,train,0.064,1,0
287,M,299.2,307.3,1379.0,33.6,33,0,train,0.051,1,0
288,M,298.4,306.0,1394.0,37.0,149,0,train,0.081,1,0
289,H,298.5,307.0,1486.0,45.4,196,0,train,0.032,3,0
290,H,297.8,309.2,1558.0,31.9,239,0,train,0.023,2,0
291,M,299.3,308.4,1587.0,47.6,135,0,train,0.101,0,0
292,M,298.1,308.2,1499.0,61.3,197,0,train,0.056,1,0
293,L,296.3,307.0,1261.0,39.4,62,0,train,0.103,0,0
294,H,295.9,306.5,1631.0,26.6,106,0,train,0.035,3,0
295,L,296.5,306.9,1490.0,26.6,104,0,train,0.077,1,0
296,M,298.4,308.0,1709.0,47.8,83,0,train,0.047,1,0
297,M,297.9,308.9,1373.0,39.4,179,0,train,0.065,1,0
298,L,298.4,308.9,1212.0,48.8,220,0,train,0.03,0,0
299,L,299.0,308.6,1494.0,34.7,81,0,train,0.034,3,0
300,L,296.7,307.3,1733.0,48.3,33,0,train,0.04,2,0
301,H,300.9,308.0,1529.0,38.4,206,0,train,0.022,1,0
302,M,297.5,307.7,1464.0,32.7,212,0,train,0.064,1,0
303,L,297.1,307.8,1343.0,36.0,233,0,train,0.026,2,0
304,M,299.0,310.0,1816.0,28.0,63,0,train,0.053,0,0
305,L,294.3,306.2,1315.0,59.9,179,0,train,0.032,3,0
306,H,296.4,307.8,1369.0,39.0,178,0,train,0.04,2,0
307,L,300.0,309.2,1603.0,46.4,197,0,train,0.073,0,0
308,L,294.5,306.5,1166.0,34.6,201,0,train,0.297,2,0
309,L,300.2,307.4,1729.0,29.5,238,1,train,0.606,3,1
310,M,301.0,307.5,1612.0,37.7,119,0,train,0.177,0,0
311,L,297.3,307.8,1662.0,51.0,18,0,train,0.019,2,0
312,M,298.6,306.4,1600.0,34.8,48,0,train,0.05,2,0
313,L,300.2,308.6,1471.0,31.3,221,0,train,0.033,3,0
314,L,297.1,308.7,1309.0,41.6,211,0,train,0.135,2,0
315,L,299.7,308.5,1475.0,45.0,2,0,train,0.077,2,0
316,L,296.7,307.1,1324.0,56.4,91,0,train,0.166,3,0
317,H,297.0,308.1,1588.0,43.5,61,0,train,0.065,3,0
318,L,296.4,307.1,1645.0,46.4,80,0,train,0.06,1,0
319,H,298.7,307.7,1766.0,47.2,159,0,train,0.016,2,0
320,L,300.3,310.2,1567.0,28.5,127,0,train,0.2,0,0
321,L,297.6,308.1,1666.0,30.4,120,0,train,0.016,3,0
322,L,295.5,306.8,1447.0,29.2,108,0,train,0.066,3,0
323,L,295.8,308.2,1414.0,26.7,160,0,train,0.178,1,0
324,M,298.8,306.6,1585.0,48.0,170,0,train,0.117,2,0
325,M,301.7,306.8,1430.0,42.9,10,0,train,0.067,3,0
326,L,298.8,307.0,1548.0,40.8,34,0,train,0.077,0,0
327,M,297.2,307.6,1309.0,14.1,85,0,train,0.059,2,0
328,M,299.5,308.9,1341.0,60.6,108,0,train,0.001,3,0
329,H,297.5,308.6,1614.0,31.1,249,0,train,0.073,3,0
330,H,297.2,308.5,1660.0,60.5,222,0,train,0.069,0,0
331,M,296.1,306.9,1323.0,25.5,162,0,train,0.083,3,0
332,H,300.8,307.5,1621.0,31.9,9,0,train,0.025,3,0
333,M,292.9,308.3,1404.0,18.0,25,0,train,0.114,0,0
334,L,299.6,307.4,1503.0,43.6,114,0,train,0.079,2,0
335,M,297.1,307.7,1755.0,29.0,146,0,train,0.063,2,0
336,L,297.2,308.4,1645.0,29.3,165,0,train,0.081,3,0
337,M,301.4,307.7,1643.0,26.3,35,0,train,0.038,0,0
338,H,296.6,308.2,1844.0,47.8,221,0,train,0.052,3,0
339,L,296.6,309.6,1373.0,47.1,123,0,train,0.119,2,0
340,H,297.7,307.8,1323.0,58.1,148,0,train,0.133,1,0
341,H,298.8,309.2,1370.0,33.1,9,0,train,0.027,1,0
342,L,297.1,308.6,1454.0,42.2,206,0,train,0.063,3,0
343,M,294.9,306.5,1076.0,27.1,135,0,train,0.002,3,0
344,H,296.3,306.9,1463.0,36.6,55,0,train,0.079,1,0
345,H,300.6,307.2,1402.0,34.8,79,0,train,0.077,3,0
346,L,298.1,307.1,1641.0,44.6,88,0,train,0.231,2,0
347,L,298.9,307.9,1563.0,50.2,6,0,train,0.233,0,0
348,M,297.5,308.6,1392.0,49.9,235,0,train,0.108,2,0
349,L,296.7,309.3,1606.0,31.6,200,0,train,0.139,3,0
350,L,301.4,308.3,1630.0,50.0,221,0,train,0.07,0,0
351,L,297.6,307.6,1362.0,39.6,88,0,train,0.05,0,0
352,L,297.1,305.9,1411.0,36.8,139,0,train,0.024,0,0
353,M,300.2,308.1,1099.0,32.9,114,0,train,0.151,2,0
354,M,296.6,308.0,1304.0,34.4,118,0,train,0.017,0,0
355,M,296.8,308.2,1366.0,57.4,147,0,train,0.036,3,0
356,M,298.0,310.1,1513.0,43.1,112,0,train,0.062,0,0
357,L,298.0,309.2,1330.0,41.7,193,0,train,0.007,0,0
358,L,298.5,308.8,1408.0,37.4,14,0,train,0.006,1,0
359,L,302.2,307.0,1279.0,64.5,48,0,train,0.005,3,0
360,L,298.7,307.5,1531.0,53.1,223,0,train,0.025,3,0
361,L,293.2,307.9,1577.0,32.8,220,0,train,0.033,1,0
362,L,298.7,307.2,1572.0,37.3,204,0,train,0.085,2,0
363,L,298.1,308.5,1502.0,37.9,92,0,train,0.122,3,0
364,L,298.1,308.4,1223.0,41.5,114,0,train,0.033,3,0
365,M,298.5,306.9,1388.0,33.0,6,0,train,0.146,0,0
366,M,297.9,309.2,1427.0,44.4,69,0,train,0.136,3,0
367,H,297.9,308.1,1427.0,54.5,181,1,train,0.758,3,1
368,M,299.2,306.3,1513.0,26.9,85,0,train,0.078,2,0
369,M,296.9,307.9,1757.0,28.7,120,0,train,0.02,2,0
370,L,296.1,308.3,1646.0,35.2,30,1,train,0.616,1,1
371,M,304.0,309.0,1322.0,35.6,124,0,train,0.074,3,0
372,L,296.6,307.7,1622.0,60.0,180,0,train,0.113,3,0
373,L,298.2,308.8,1615.0,50.0,143,0,train,0.113,2,0
374,L,295.0,308.2,1355.0,49.4,139,0,train,0.094,2,0
375,L,298.2,306.7,1653.0,37.4,228,0,train,0.172,1,0
376,L,296.1,306.6,1471.0,37.1,58,0,train,0.014,2,0
377,M,297.1,309.1,1246.0,25.5,74,0,train,0.031,0,0
378,H,300.1,309.2,1582.0,47.8,155,0,train,0.103,3,0
379,M,298.9,308.3,1539.0,44.9,120,0,train,0.089,2,0
380,M,299.1,309.5,1459.0,52.9,244,0,train,0.003,2,0
381,M,294.5,309.1,1493.0,37.9,14,0,train,0.177,0,0
382,L,301.7,308.7,1371.0,38.6,30,0,train,0.05,2,0
383,M,295.6,307.1,1610.0,41.7,85,0,train,0.14,0,0
384,M,301.1,309.7,1492.0,48.9,114,0,train,0.09,3,0
385,L,300.0,308.5,1530.0,25.3,222,0,train,0.127,2,0
386,L,299.2,307.6,1564.0,47.4,123,0,train,0.029,1,0
387,H,296.3,307.3,1292.0,39.8,109,0,train,0.093,3,0
388,M,298.3,308.3,1339.0,29.4,41,0,train,0.134,3,0
389,L,297.1,306.3,1102.0,19.2,108,0,train,0.03,0,0
390,M,298.1,308.7,1602.0,38.6,132,0,train,0.062,0,0
391,L,297.5,307.0,1282.0,54.5,145,0,train,0.091,1,0
392,L,293.9,308.4,1524.0,56.7,151,1,train,0.631,0,1
393,L,300.2,307.5,1567.0,43.6,107,0,train,0.042,2,0
394,L,297.8,307.7,1608.0,59.6,39,1,train,0.722,2,1
395,M,297.0,307.2,1283.0,39.6,38,0,train,0.058,2,0
396,L,296.9,307.8,1488.0,49.5,38,0,train,0.006,0,0
397,M,298.7,309.9,1801.0,35.5,154,0,train,0.067,3,0
