transaction_date,asset_tag,machine_type,cluster,anomaly_score,고장표시참고율,temp_bearing_degC,temp_motor_degC,vibration_h_mms,vibration_v_mms,oil_pressure_bar,load_pct,shaft_rpm,power_consumption_kw
2022-01-28,AST-1041,CNC Lathe,1,2.487466604474294,0.1,64.2,66.9,4.713,3.25,3.61,83.5,1776,15.88
2022-01-29,AST-1041,CNC Lathe,0,2.7980112845188194,0.0,63.4,61.5,4.106,3.002,4.1,64.7,1737,13.59
2022-01-30,AST-1041,CNC Lathe,2,3.5682710269884015,0.0,63.1,63.8,10.863,8.078,3.92,66.8,1721,13.02
2022-01-31,AST-1041,CNC Lathe,1,2.503816988238378,0.1,64.5,66.4,4.398,3.467,3.74,87.2,1790,17.03
2022-02-01,AST-1041,CNC Lathe,0,2.7293424941604125,0.05,63.6,66.0,4.695,3.431,3.77,78.2,1792,14.17
2022-02-02,AST-1041,CNC Lathe,1,2.324804777915525,0.05,64.3,66.9,4.485,3.325,3.72,85.8,1812,15.95
2022-02-03,AST-1041,CNC Lathe,1,2.398518129631322,0.05,64.1,66.2,4.337,3.167,3.75,85.1,1775,16.08
2022-02-04,AST-1041,CNC Lathe,1,2.1621219763636566,0.1,67.6,63.9,4.708,3.251,3.85,82.2,1813,14.68
2022-02-05,AST-1041,CNC Lathe,0,3.4062642637117087,0.0,63.4,61.1,4.782,3.456,3.94,62.9,1713,11.3
2022-02-06,AST-1041,CNC Lathe,0,2.542629013292408,0.0,64.6,63.3,4.363,3.196,3.71,68.3,1693,13.31
2022-02-07,AST-1041,CNC Lathe,1,2.673929849429059,0.15,64.4,66.3,4.79,3.607,3.56,82.4,1824,16.12
2022-02-08,AST-1041,CNC Lathe,1,2.3351784911470364,0.2,65.1,65.8,4.773,3.692,3.74,85.1,1808,15.79
2022-02-09,AST-1041,CNC Lathe,1,2.5284844952865395,0.15,64.4,67.6,4.355,3.219,3.48,84.3,1779,14.65
2022-02-10,AST-1041,CNC Lathe,1,3.064430099158502,0.2,62.7,67.1,4.58,3.385,3.58,89.9,1809,16.39
2022-02-11,AST-1041,CNC Lathe,1,2.706822586529357,0.2,63.6,65.1,4.176,2.788,3.68,83.4,1795,14.28
2022-02-12,AST-1041,CNC Lathe,0,3.2573629540745417,0.0,61.2,63.3,4.218,3.272,3.9,64.4,1726,11.98
2022-02-13,AST-1041,CNC Lathe,0,2.853207873937768,0.0,61.1,64.7,4.164,2.984,4.13,68.6,1710,12.9
2022-02-14,AST-1041,CNC Lathe,1,2.7250037869431374,0.1,64.1,67.4,4.418,3.463,3.44,85.0,1830,15.52
2022-02-15,AST-1041,CNC Lathe,1,1.67282324607968,0.2,67.5,70.3,4.38,3.548,3.99,89.0,1826,16.66
2022-02-16,AST-1041,CNC Lathe,1,2.309796529675775,0.3,65.7,66.2,4.474,3.318,3.65,87.2,1772,16.46
2022-02-17,AST-1041,CNC Lathe,1,1.7789915097451756,0.2,67.2,66.9,4.66,3.29,3.77,85.5,1795,16.03
2022-02-18,AST-1041,CNC Lathe,1,2.3059213461836987,0.15,66.6,68.3,4.544,3.405,3.43,89.4,1782,15.58
2022-02-19,AST-1041,CNC Lathe,0,2.582481725118122,0.0,64.5,63.8,3.802,2.921,3.98,63.8,1707,11.61
2022-02-20,AST-1041,CNC Lathe,0,2.8916349439737856,0.0,62.7,63.4,4.106,3.016,3.84,65.8,1688,12.49
2022-02-21,AST-1041,CNC Lathe,1,2.1421668740661213,0.4,66.0,64.1,4.096,2.959,3.8,81.0,1802,16.25
2022-02-22,AST-1041,CNC Lathe,1,2.364536810092044,0.2,66.4,66.0,4.56,3.533,3.48,82.9,1779,15.12
2022-02-23,AST-1041,CNC Lathe,2,2.637304562558744,0.2,64.6,64.7,8.869,6.751,3.84,79.5,1808,15.14
2022-02-24,AST-1041,CNC Lathe,1,2.1615288698517108,0.05,66.7,64.8,4.608,3.387,3.83,86.5,1797,16.7
2022-02-25,AST-1041,CNC Lathe,1,2.0229835037463935,0.2,66.4,65.8,4.312,2.903,3.72,83.5,1830,15.29
2022-02-26,AST-1041,CNC Lathe,0,2.9654877864969897,0.0,63.0,62.3,4.324,3.334,4.01,62.9,1733,12.55
2022-02-27,AST-1041,CNC Lathe,0,2.5474887394881,0.0,62.6,65.0,4.164,2.97,4.0,64.4,1716,12.88
2022-02-28,AST-1041,CNC Lathe,1,2.312313233801981,0.1,64.6,68.2,4.249,3.23,3.63,85.4,1797,16.9
2022-03-01,AST-1041,CNC Lathe,1,2.0340306956042156,0.15,66.3,66.3,4.742,3.587,3.92,87.2,1813,16.5
2022-03-02,AST-1041,CNC Lathe,1,2.9831412616745863,0.2,67.1,67.9,4.811,3.23,3.61,91.3,1810,18.77
2022-03-03,AST-1041,CNC Lathe,1,2.9703317074055504,0.1,66.1,66.0,4.883,3.678,3.55,94.5,1778,16.98
2022-03-04,AST-1041,CNC Lathe,1,2.2903707737015604,0.15,66.2,66.7,4.389,3.395,3.73,85.7,1792,17.56
2022-03-05,AST-1041,CNC Lathe,0,2.404723965909619,0.0,64.8,64.9,4.583,3.564,3.84,64.5,1740,12.55
2022-03-06,AST-1041,CNC Lathe,0,2.945327378089478,0.0,64.5,65.0,4.117,3.111,3.44,60.5,1699,12.27
2022-03-07,AST-1041,CNC Lathe,1,1.9616285734583132,0.15,68.1,66.4,4.701,3.13,3.7,85.2,1770,15.51
2022-03-08,AST-1041,CNC Lathe,1,1.8971718829071131,0.15,67.4,68.5,4.365,3.529,3.6,81.4,1820,15.74
2022-03-09,AST-1041,CNC Lathe,1,2.2873126335015113,0.0,64.9,64.9,4.454,3.423,4.02,82.8,1826,16.46
2022-03-10,AST-1041,CNC Lathe,1,1.7346017301959953,0.15,68.1,65.2,3.898,2.683,4.03,82.1,1809,14.32
2022-03-11,AST-1041,CNC Lathe,1,1.621032740568205,0.15,65.6,68.4,4.448,3.178,3.88,83.8,1808,15.37
2022-03-12,AST-1041,CNC Lathe,0,1.9719860298669514,0.0,66.3,68.1,4.403,3.348,3.79,71.7,1701,11.56
2022-03-13,AST-1041,CNC Lathe,0,2.1556039652476215,0.0,64.9,65.9,4.24,3.316,3.68,68.6,1701,12.54
2022-03-14,AST-1041,CNC Lathe,1,2.2673220345071385,0.1,65.8,67.4,4.964,3.626,3.66,83.7,1825,14.83
2022-03-15,AST-1041,CNC Lathe,1,2.583196137080379,0.25,63.9,63.7,4.198,3.314,4.11,80.6,1822,14.74
2022-03-16,AST-1041,CNC Lathe,1,2.5004068110179536,0.15,65.7,63.7,4.322,2.883,3.73,78.4,1800,16.84
2022-03-17,AST-1041,CNC Lathe,1,2.5589562035171767,0.05,64.5,67.6,4.288,3.007,3.42,82.6,1789,16.65
2022-03-18,AST-1041,CNC Lathe,1,1.6252947850783943,0.2,67.7,67.1,4.392,2.881,3.9,84.1,1781,14.4
2022-03-19,AST-1041,CNC Lathe,0,2.446711830900388,0.0,67.4,64.5,4.673,3.325,4.05,74.2,1680,14.17
2022-03-20,AST-1041,CNC Lathe,0,2.344807591069555,0.0,64.1,65.4,4.716,3.839,4.08,68.5,1709,13.3
2022-03-21,AST-1041,CNC Lathe,1,1.7052762276013544,0.15,67.3,68.4,4.403,3.714,3.83,87.7,1803,15.96
2022-03-22,AST-1041,CNC Lathe,1,1.5194170943106307,0.0,65.6,68.9,4.336,3.299,3.96,82.5,1811,15.41
2022-03-23,AST-1041,CNC Lathe,1,1.8525634275322689,0.0,65.5,67.4,4.2,3.022,3.84,80.1,1819,15.04
2022-03-24,AST-1041,CNC Lathe,1,2.3095061420979555,0.0,67.3,69.1,4.826,3.575,3.5,80.9,1792,13.89
2022-03-25,AST-1041,CNC Lathe,1,2.0558885591252527,0.0,66.5,67.5,4.79,3.687,3.8,81.7,1780,14.3
2022-03-26,AST-1041,CNC Lathe,0,1.8398010268108504,0.0,68.0,66.4,4.409,2.994,3.92,75.5,1731,14.1
2022-03-27,AST-1041,CNC Lathe,0,2.0506456535837816,0.0,64.3,66.6,3.963,2.858,3.81,65.1,1726,12.13
2022-03-28,AST-1041,CNC Lathe,1,1.923952330490754,0.2,68.4,66.9,4.252,3.476,3.66,87.2,1802,15.57
2022-03-29,AST-1041,CNC Lathe,0,2.9363830369510397,0.05,61.5,67.1,3.525,2.434,3.66,81.1,1772,14.37
2022-03-30,AST-1041,CNC Lathe,1,3.0772893320209245,0.15,64.0,61.9,3.46,2.445,3.53,87.5,1798,16.12
2022-03-31,AST-1041,CNC Lathe,1,3.5066173243967325,0.1,62.2,60.5,2.718,2.041,3.99,85.6,1807,16.55
2022-04-01,AST-1041,CNC Lathe,1,1.3590794808909432,0.2,66.9,68.7,4.459,3.401,4.04,83.7,1822,15.43
2022-04-02,AST-1041,CNC Lathe,0,1.8567034190088831,0.0,65.3,68.4,4.755,3.441,3.83,67.9,1710,13.85
2022-04-03,AST-1041,CNC Lathe,0,2.3242804792509384,0.0,64.2,66.5,4.271,3.218,3.87,65.7,1708,11.6
2022-04-04,AST-1041,CNC Lathe,1,2.3455228466158267,0.05,68.1,65.9,4.94,3.826,3.57,85.8,1793,16.03
2022-04-05,AST-1041,CNC Lathe,1,1.6067704759558585,0.15,67.8,70.0,4.693,3.912,3.87,82.7,1795,15.01
2022-04-06,AST-1041,CNC Lathe,1,1.4782514463048524,0.2,67.5,67.0,4.228,3.145,4.09,80.0,1770,15.27
2022-04-07,AST-1041,CNC Lathe,1,2.168552559070236,0.1,68.6,67.7,4.424,3.31,3.6,79.8,1776,14.14
2022-04-08,AST-1041,CNC Lathe,1,2.2417041040517036,0.1,69.0,66.4,4.527,3.701,3.8,84.9,1816,17.24
2022-04-09,AST-1041,CNC Lathe,0,1.654629203861985,0.0,65.7,67.4,4.186,3.029,3.91,73.5,1702,12.25
2022-04-10,AST-1041,CNC Lathe,0,1.8450770459900179,0.0,66.2,64.9,4.122,2.827,3.91,68.6,1731,14.06
2022-04-11,AST-1041,CNC Lathe,1,1.63511435783001,0.1,66.5,68.4,4.926,3.744,4.0,83.9,1794,15.58
2022-04-12,AST-1041,CNC Lathe,1,1.5524110173961212,0.05,67.5,68.0,4.323,3.457,4.03,85.3,1830,16.22
2022-04-13,AST-1041,CNC Lathe,1,2.3520065708023052,0.05,67.1,71.9,4.88,3.732,3.62,88.8,1781,17.5
2022-04-14,AST-1041,CNC Lathe,1,1.5756777163170952,0.0,69.4,71.4,4.457,3.323,3.83,85.0,1781,16.42
2022-04-15,AST-1041,CNC Lathe,1,1.571336047117364,0.05,67.8,68.2,4.534,3.111,3.79,82.8,1805,14.74
2022-04-16,AST-1041,CNC Lathe,0,1.8288163847409673,0.0,66.0,66.6,4.55,3.401,3.73,71.9,1728,13.78
2022-04-17,AST-1041,CNC Lathe,0,2.2568168594605766,0.0,67.5,65.7,4.232,3.421,3.87,69.5,1688,14.35
2022-04-18,AST-1041,CNC Lathe,1,1.9486200556509583,0.15,65.5,70.9,4.766,3.328,3.74,89.6,1800,15.87
2022-04-19,AST-1041,CNC Lathe,1,2.1598707098680285,0.1,65.2,68.1,4.057,2.994,3.76,84.9,1783,17.4
2022-04-20,AST-1041,CNC Lathe,1,1.9090902014637325,0.1,68.1,67.2,4.62,3.387,3.7,80.0,1814,15.11
2022-04-21,AST-1041,CNC Lathe,1,1.5865651860497525,0.1,67.2,69.3,3.888,2.776,3.76,79.5,1804,14.36
2022-04-22,AST-1041,CNC Lathe,1,2.1390458160497694,0.15,68.6,68.6,4.576,3.481,3.56,90.0,1809,15.94
2022-04-23,AST-1041,CNC Lathe,0,2.1219711796052576,0.0,65.1,67.0,4.655,3.58,3.7,74.0,1696,13.52
2022-04-24,AST-1041,CNC Lathe,0,2.816849068780028,0.0,66.0,63.7,4.517,3.475,3.88,67.4,1697,10.9
2022-04-25,AST-1041,CNC Lathe,1,1.5859286597837796,0.1,70.0,69.5,4.225,2.973,3.83,82.9,1809,15.01
2022-04-26,AST-1041,CNC Lathe,1,1.6419372967384183,0.1,69.3,72.3,4.335,2.922,3.79,89.4,1791,16.33
2022-04-27,AST-1041,CNC Lathe,1,1.8957815023049196,0.05,67.6,69.2,4.348,3.314,3.69,80.4,1812,14.01
2022-04-28,AST-1041,CNC Lathe,1,1.5907870611264978,0.15,67.0,70.4,4.577,3.331,3.72,81.1,1779,15.61
2022-04-29,AST-1041,CNC Lathe,1,3.113693616005247,0.15,67.6,67.8,6.566,5.292,3.93,86.5,1788,15.83
2022-04-30,AST-1041,CNC Lathe,0,2.649105534069063,0.0,63.6,66.5,4.354,3.643,3.8,66.6,1686,11.82
2022-05-01,AST-1041,CNC Lathe,0,2.4895105601180085,0.0,66.6,64.9,4.453,3.738,3.83,68.0,1685,12.32
2022-05-02,AST-1041,CNC Lathe,1,1.6438036618974912,0.2,68.9,68.4,4.493,3.182,3.73,83.7,1786,15.77
2022-05-03,AST-1041,CNC Lathe,1,1.5878548606791594,0.15,66.2,70.2,4.717,3.652,3.89,85.5,1799,15.87
2022-05-04,AST-1041,CNC Lathe,1,1.793237894017196,0.15,67.7,69.7,4.688,3.69,3.82,89.2,1778,15.94
2022-05-05,AST-1041,CNC Lathe,1,1.7313162947569571,0.05,66.7,66.8,4.442,3.483,3.9,84.6,1775,15.75
2022-05-06,AST-1041,CNC Lathe,1,1.79615266335007,0.05,67.2,67.3,4.117,3.017,3.7,86.5,1823,15.97
2022-05-07,AST-1041,CNC Lathe,0,3.3650973044386956,0.0,65.8,63.3,4.327,3.501,3.7,60.8,1711,10.34
2022-05-08,AST-1041,CNC Lathe,0,1.8291239638711327,0.0,64.0,67.2,4.14,3.105,4.12,67.8,1723,12.32
2022-05-09,AST-1041,CNC Lathe,1,1.2169787296473835,0.1,68.6,71.6,4.397,3.323,3.93,81.3,1814,15.51
2022-05-10,AST-1041,CNC Lathe,1,1.6028320122267314,0.15,68.7,70.4,4.646,3.177,3.76,80.0,1776,15.26
2022-05-11,AST-1041,CNC Lathe,1,1.9552096463515607,0.1,67.6,65.7,4.896,3.801,4.02,81.2,1807,14.84
2022-05-12,AST-1041,CNC Lathe,1,1.9338759102622056,0.05,65.2,71.0,4.555,3.365,3.69,83.1,1822,15.91
2022-05-13,AST-1041,CNC Lathe,1,1.5092444660415754,0.15,67.4,70.9,4.757,3.661,3.89,87.5,1797,15.4
2022-05-14,AST-1041,CNC Lathe,0,2.7424875025893627,0.0,67.7,63.6,3.969,3.023,4.05,63.4,1732,10.96
2022-05-15,AST-1041,CNC Lathe,0,2.3215654178874074,0.0,63.4,66.2,4.449,3.373,3.69,68.1,1737,12.4
2022-05-16,AST-1041,CNC Lathe,1,1.400294855621984,0.2,67.8,70.5,4.547,3.401,3.87,82.6,1803,16.47
2022-05-17,AST-1041,CNC Lathe,1,1.679901498274063,0.05,66.9,69.8,4.877,3.815,3.88,83.1,1776,15.51
2022-05-18,AST-1041,CNC Lathe,1,1.688272302588468,0.05,69.8,67.7,4.491,3.328,4.07,87.8,1807,16.02
2022-05-19,AST-1041,CNC Lathe,1,2.031873411619676,0.0,67.8,70.4,4.547,3.119,3.6,86.2,1823,17.17
2022-05-20,AST-1041,CNC Lathe,1,2.1690323996311576,0.05,69.4,66.7,4.906,3.793,3.87,88.9,1805,16.23
2022-05-21,AST-1041,CNC Lathe,0,1.9310832115652856,0.0,67.5,66.4,4.362,3.109,3.83,67.5,1728,14.27
2022-05-22,AST-1041,CNC Lathe,0,2.290070572146274,0.0,68.9,68.1,4.085,2.799,3.64,65.6,1712,11.72
2022-05-23,AST-1041,CNC Lathe,1,1.9335005100396279,0.15,68.2,69.2,5.216,3.708,3.74,83.5,1795,14.64
2022-05-24,AST-1041,CNC Lathe,2,2.03380553881993,0.25,69.1,68.7,10.415,7.868,3.73,85.1,1827,15.61
2022-05-25,AST-1041,CNC Lathe,1,1.8191056631000626,0.05,66.9,70.7,4.581,3.416,3.57,84.9,1779,15.5
2022-05-26,AST-1041,CNC Lathe,1,1.7226701949052605,0.15,69.7,70.2,4.631,3.047,3.87,80.5,1797,14.24
2022-05-27,AST-1041,CNC Lathe,1,1.9194617938829892,0.1,67.8,71.4,4.662,3.42,3.88,84.6,1779,17.73
2022-05-28,AST-1041,CNC Lathe,0,1.5749110766562116,0.0,66.5,68.4,4.359,3.503,3.87,68.8,1719,12.98
2022-05-29,AST-1041,CNC Lathe,0,1.8253471050047845,0.0,67.9,69.9,4.457,3.252,3.75,76.8,1736,14.58
2022-05-30,AST-1041,CNC Lathe,1,2.170353408024131,0.15,67.5,71.5,4.613,3.427,3.59,90.8,1830,16.44
2022-05-31,AST-1041,CNC Lathe,1,1.612952817926395,0.15,68.7,69.4,4.279,3.418,3.8,81.3,1784,14.58
2022-06-01,AST-1041,CNC Lathe,1,2.135420666034437,0.2,69.9,69.4,5.12,3.999,3.8,83.3,1814,16.22
2022-06-02,AST-1041,CNC Lathe,1,2.1636950098515015,0.2,68.7,68.3,4.479,3.564,4.0,79.1,1823,13.3
2022-06-03,AST-1041,CNC Lathe,1,1.867947321444422,0.05,66.7,67.4,4.721,2.986,3.83,82.2,1820,14.29
2022-06-04,AST-1041,CNC Lathe,0,2.204748802743106,0.0,67.2,65.8,4.332,3.596,3.62,69.1,1710,12.59
2022-06-05,AST-1041,CNC Lathe,0,2.2864334594584026,0.0,68.6,67.3,4.365,3.401,3.75,72.2,1690,14.44
2022-06-06,AST-1041,CNC Lathe,1,1.7331540275309167,0.15,66.4,69.5,4.455,3.833,3.82,81.7,1798,14.82
2022-06-07,AST-1041,CNC Lathe,1,0.9908096730011549,0.25,67.4,71.4,4.185,2.982,3.96,82.0,1817,15.5
2022-06-08,AST-1041,CNC Lathe,1,1.8103559094302617,0.15,69.3,68.4,4.47,3.0,4.02,76.8,1807,14.22
2022-06-09,AST-1041,CNC Lathe,1,1.3403019407144776,0.15,69.2,71.0,4.493,3.371,4.02,83.7,1793,16.52
2022-06-10,AST-1041,CNC Lathe,1,2.0452727861167137,0.2,69.1,70.7,4.85,3.583,3.84,80.6,1783,13.63
2022-06-11,AST-1041,CNC Lathe,0,2.194105165664689,0.0,69.4,66.6,4.086,3.196,3.94,66.1,1719,12.83
2022-06-12,AST-1041,CNC Lathe,0,2.3328281951501824,0.0,67.7,67.6,4.227,3.386,3.61,64.9,1706,11.85
2022-06-13,AST-1041,CNC Lathe,1,1.64760518386718,0.2,69.8,69.3,4.376,3.265,3.82,83.9,1798,16.27
2022-06-14,AST-1041,CNC Lathe,1,2.8120653759191443,0.1,71.7,70.7,4.892,3.621,3.67,78.1,1827,13.8
2022-06-15,AST-1041,CNC Lathe,1,1.6648505843187993,0.1,68.3,69.9,4.327,3.35,3.82,79.1,1770,14.66
2022-06-16,AST-1041,CNC Lathe,1,2.025495183533405,0.1,68.9,69.1,4.837,3.576,4.05,91.7,1784,16.89
2022-06-17,AST-1041,CNC Lathe,1,2.0428941149292497,0.15,69.2,69.3,4.796,3.529,3.88,79.8,1826,13.95
2022-06-18,AST-1041,CNC Lathe,0,2.463658158088973,0.0,67.7,69.2,4.331,3.456,3.7,64.2,1736,10.85
2022-06-19,AST-1041,CNC Lathe,0,1.7128924570750081,0.0,67.6,68.0,4.147,3.362,3.89,74.4,1698,13.31
2022-06-20,AST-1041,CNC Lathe,1,2.868636745753486,0.05,69.0,72.0,4.391,3.51,3.46,94.4,1830,17.57
2022-06-21,AST-1041,CNC Lathe,1,2.536010105548815,0.05,71.6,70.0,4.777,3.549,3.68,80.2,1782,14.23
2022-06-22,AST-1041,CNC Lathe,1,1.4088643154802016,0.1,69.5,68.1,4.281,2.783,4.09,83.0,1773,15.09
2022-06-23,AST-1041,CNC Lathe,1,1.6213291820875657,0.2,68.5,70.8,4.725,3.514,3.88,85.5,1788,14.3
2022-06-24,AST-1041,CNC Lathe,1,2.4323467185088967,0.2,71.0,68.7,4.715,3.384,3.68,90.3,1802,16.41
2022-06-25,AST-1041,CNC Lathe,0,2.4697330899737997,0.0,67.2,66.0,4.472,3.328,3.77,64.5,1680,12.76
2022-06-26,AST-1041,CNC Lathe,0,1.9261847973307824,0.0,67.3,68.9,4.527,3.261,3.78,67.1,1690,12.99
2022-06-27,AST-1041,CNC Lathe,1,2.291098396306186,0.1,65.1,64.0,3.069,2.298,3.92,87.0,1818,16.02
2022-06-28,AST-1041,CNC Lathe,1,2.4509988816180797,0.2,64.1,64.7,3.736,2.594,3.76,85.8,1807,16.07
2022-06-29,AST-1041,CNC Lathe,1,3.124237121662101,0.2,63.4,64.7,3.713,2.528,3.31,83.0,1806,14.68
2022-06-30,AST-1041,CNC Lathe,1,2.2657365534094907,0.2,71.7,69.8,4.455,3.586,4.12,83.8,1830,16.8
2022-07-01,AST-1041,CNC Lathe,1,1.5529982830347848,0.2,69.5,69.2,3.874,2.711,3.86,79.5,1783,16.35
2022-07-02,AST-1041,CNC Lathe,0,1.745238535239759,0.0,67.3,68.4,4.577,3.433,3.88,67.2,1734,12.56
2022-07-03,AST-1041,CNC Lathe,0,2.0563873009215117,0.0,67.1,66.3,4.155,3.307,3.99,67.1,1701,14.48
2022-07-04,AST-1041,CNC Lathe,1,1.819261678392851,0.05,69.1,70.2,4.748,3.744,3.8,85.1,1826,15.2
2022-07-05,AST-1041,CNC Lathe,1,1.9702458058610215,0.15,69.0,69.2,4.947,3.869,3.9,82.3,1817,14.23
2022-07-06,AST-1041,CNC Lathe,1,1.994180460396465,0.15,69.2,67.9,4.647,3.546,3.65,85.9,1783,15.33
2022-07-07,AST-1041,CNC Lathe,1,2.6445773561326247,0.05,71.0,69.2,4.915,3.831,3.49,87.8,1782,16.07
2022-07-08,AST-1041,CNC Lathe,1,2.0082537835305083,0.0,67.5,72.5,4.67,3.777,3.78,84.8,1803,17.54
2022-07-09,AST-1041,CNC Lathe,0,2.190079861551467,0.0,69.1,68.4,4.842,3.716,4.04,69.2,1710,12.58
2022-07-10,AST-1041,CNC Lathe,0,2.2148825607277254,0.0,67.5,65.7,4.168,2.758,3.73,68.2,1694,11.93
2022-07-11,AST-1041,CNC Lathe,1,2.101786909526327,0.3,70.0,67.8,4.625,3.363,3.64,84.3,1785,14.87
2022-07-12,AST-1041,CNC Lathe,1,1.5794028706991783,0.0,68.0,69.5,4.766,3.714,3.98,81.7,1824,16.03
2022-07-13,AST-1041,CNC Lathe,1,2.2978872700870725,0.15,71.3,72.6,4.594,3.32,3.65,85.4,1815,16.59
2022-07-14,AST-1041,CNC Lathe,1,2.407461384612268,0.1,71.1,69.8,4.913,4.009,3.69,83.9,1781,15.14
2022-07-15,AST-1041,CNC Lathe,1,2.6498100949797108,0.15,71.5,73.2,4.61,3.445,3.54,91.6,1814,15.44
2022-07-16,AST-1041,CNC Lathe,0,2.0974054386403034,0.0,66.8,69.0,5.019,3.781,3.82,73.5,1689,12.7
2022-07-17,AST-1041,CNC Lathe,0,2.604336320164643,0.0,69.2,68.6,4.983,3.962,3.59,69.4,1707,14.21
2022-07-18,AST-1041,CNC Lathe,1,2.071727812099289,0.15,69.9,67.7,4.671,3.467,3.72,81.6,1770,15.65
2022-07-19,AST-1041,CNC Lathe,1,1.5237134544372655,0.1,67.4,71.0,4.725,3.579,3.86,80.4,1809,14.92
2022-07-20,AST-1041,CNC Lathe,1,2.6749275957040144,0.2,70.1,70.3,4.982,3.916,3.69,88.4,1781,17.86
2022-07-21,AST-1041,CNC Lathe,1,1.8611484005535845,0.2,70.2,71.6,4.349,2.967,3.9,85.2,1784,17.33
2022-07-22,AST-1041,CNC Lathe,1,1.6961162899268492,0.05,70.6,69.2,4.328,3.189,3.99,85.9,1781,15.87
2022-07-23,AST-1041,CNC Lathe,0,2.7525544447192365,0.0,67.7,67.1,4.682,3.678,4.06,61.9,1691,11.44
2022-07-24,AST-1041,CNC Lathe,0,2.108744891442598,0.0,68.8,68.8,4.55,3.425,3.97,71.2,1684,12.72
2022-07-25,AST-1041,CNC Lathe,1,2.391041934718875,0.05,71.7,70.2,4.601,3.744,3.69,85.9,1803,15.66
2022-07-26,AST-1041,CNC Lathe,1,2.3547361663647997,0.3,70.8,70.2,4.595,3.131,3.73,80.4,1822,13.68
2022-07-27,AST-1041,CNC Lathe,1,1.6732714016020716,0.1,66.2,69.6,4.023,2.68,3.78,82.6,1788,14.09
